date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20240817,0,AQI,19.0,18.0,17.0,15.0,13.0,14.0,15.0,20.0,16.0,11.0,18.0,17.0,20.0,18.0,15.0,19.0,12.0,19.0,16.0,16.0,23.0
20240817,0,PM2.5,10.0,12.0,11.0,6.0,6.0,6.0,8.0,9.0,8.0,6.0,10.0,8.0,8.0,8.0,6.0,11.0,3.0,3.0,7.0,7.0,13.0
20240817,0,PM10,19.0,16.0,17.0,15.0,13.0,14.0,15.0,20.0,16.0,6.0,18.0,17.0,19.0,17.0,15.0,19.0,12.0,19.0,16.0,16.0,23.0
20240817,0,SO2,5.0,4.0,3.0,3.0,4.0,5.0,4.0,6.0,4.0,4.0,5.0,7.0,5.0,4.0,8.0,7.0,4.0,4.0,5.0,5.0,8.0
20240817,0,NO2,33.0,27.0,29.0,29.0,21.0,20.0,25.0,33.0,27.0,21.0,19.0,22.0,40.0,36.0,27.0,22.0,17.0,14.0,30.0,6.0,40.0
20240817,0,O3,17.0,19.0,14.0,16.0,27.0,26.0,19.0,10.0,20.0,18.0,16.0,25.0,6.0,14.0,20.0,19.0,32.0,23.0,8.0,12.0,5.0
20240817,0,CO,0.5,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.3,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.7,0.5
20240817,1,AQI,22.0,22.0,17.0,17.0,14.0,19.0,18.0,20.0,20.0,15.0,18.0,17.0,19.0,20.0,17.0,18.0,12.0,14.0,18.0,17.0,23.0
20240817,1,PM2.5,14.0,15.0,11.0,7.0,3.0,8.0,11.0,8.0,10.0,6.0,10.0,8.0,8.0,10.0,8.0,7.0,3.0,3.0,8.0,7.0,13.0
20240817,1,PM10,22.0,21.0,17.0,17.0,14.0,19.0,18.0,20.0,20.0,15.0,18.0,17.0,19.0,20.0,17.0,18.0,12.0,14.0,18.0,17.0,23.0
20240817,1,SO2,5.0,4.0,4.0,3.0,4.0,6.0,5.0,6.0,5.0,4.0,5.0,6.0,5.0,4.0,7.0,8.0,4.0,4.0,5.0,5.0,10.0
20240817,1,NO2,31.0,27.0,27.0,31.0,19.0,34.0,22.0,29.0,21.0,24.0,14.0,21.0,36.0,34.0,22.0,18.0,15.0,13.0,29.0,5.0,38.0
20240817,1,O3,18.0,18.0,16.0,14.0,28.0,10.0,22.0,12.0,24.0,17.0,23.0,22.0,7.0,16.0,24.0,22.0,35.0,29.0,4.0,13.0,5.0
20240817,1,CO,0.5,0.7,0.6,0.6,0.4,0.5,0.6,0.6,0.6,0.4,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.7,0.6
20240817,2,AQI,20.0,18.0,15.0,19.0,14.0,20.0,15.0,22.0,32.0,14.0,14.0,18.0,19.0,18.0,18.0,17.0,14.0,13.0,21.0,16.0,22.0
